Supplementary Table 2.  Description of all core sequences.						
						
Core metagenome ID	Functional Description	Taxonomy	CAZy class	Acc. No.	Average Abundance (per recA)	Std Error
aggregates-combined-assembly1_5791004_19_262_-	"beta-1,4-xylosidase with transcriptional regulator of AraC/XylS family"	Bacteria;Proteobacteria;Gammaproteobacteria	GH39	BAA95685.1	0.043974487	0.01818211
aggregates-combined-assembly1_5573848_1_801_-	4-alpha-glucanotransferase	Bacteria;Verrucomicrobia;Verrucomicrobiae	GH77	ACD05441.1	0.043738513	0.013457161
aggregates-combined-assembly1_5057234_1_439_+	F5/8 type C domain protein	Bacteria;Proteobacteria;Deltaproteobacteria	CBM32	ABF90924.1	0.043628178	0.015407341
aggregates-combined-assembly1_5626274_1_288_-	"oxidoreductase, Gfo/Idh/MocA family"	Bacteria;Proteobacteria;Gammaproteobacteria	GH109	ABL99401.1	0.043116932	0.01057307
aggregates-combined-assembly1_5626274_385_981_-	NAD-dependent epimerase/dehydratase	Bacteria;Acidobacteria;Solibacteres	GT2	ABJ81659.1	0.043116932	0.01057307
aggregates-combined-assembly1_5446063_1_239_+	hypothetical protein	Bacteria;Planctomycetes;Planctomycetacia	GT9	CAJ74686.1	0.042795201	0.016108189
aggregates-combined-assembly1_5203784_171_699_+	trehalose synthase	Bacteria;Actinobacteria;Actinobacteridae	GH13	ABN96148.1	0.04259589	0.008308022
aggregates-combined-assembly1_5081720_1_429_+	"transcriptional regulator, AraC family"	Bacteria;Firmicutes;Clostridia	GH39	ABW17626.1	0.042581812	0.022315552
aggregates-combined-assembly1_5081720_608_919_-	Glucosylceramidase	Bacteria;Verrucomicrobia;Opitutae	GH30	ACB74572.1	0.042581812	0.022315552
aggregates-combined-assembly1_5572675_1_638_+	hypothetical protein; putative Ricin B lectin and Actin-like ATPase domains	Bacteria;Actinobacteria;Actinobacteridae	CBM13	CAJ61616.1	0.042495927	0.016721028
aggregates-combined-assembly1_5244016_1_1077_+	putative transferase	Bacteria;Actinobacteria;Actinobacteridae	GT4	CAB36593.1	0.042478095	0.014837288
aggregates-combined-assembly1_5624174_1_701_+	PHP family phosphoesterase fused to glycosyltransferase	Bacteria;Verrucomicrobia;unclassified	GT4	ACD84038.1	0.042473554	0.009326844
aggregates-combined-assembly1_5341199_1_617_+	Lytic transglycosylase catalytic	Bacteria;Proteobacteria;Alphaproteobacteria	GH23	ABS62598.1	0.042349005	0.012916217
aggregates-combined-assembly1_5545634_2202_3045_+	Glycosyltransferase 28 domain protein	Archaea;Korarchaeota;Candidatus	GT1	ACB08216.1	0.041855233	0.010274546
aggregates-combined-assembly1_5613663_1_1014_+	4-amino-4-deoxy-L-arabinose transferase or related glycosyltransferase of PMT family	Bacteria;Verrucomicrobia;unclassified	GT83	ACD84360.1	0.041787966	0.011630191
aggregates-combined-assembly1_4959780_1_441_-	"glycosyl transferase, family 2"	Bacteria;Chloroflexi;Chloroflexales	GT2	ABQ92429.1	0.04154877	0.00990568
aggregates-combined-assembly1_5624175_1_436_-	"conserved domain protein/glycosyl transferase, group 1 family protein"	Bacteria;Proteobacteria;Deltaproteobacteria	GT4	ABB40406.1	0.041404832	0.010825532
aggregates-combined-assembly1_5594268_1_381_-	Monogalactosyldiacylglycerol synthase	Bacteria;Verrucomicrobia;Opitutae	GT28	ACB75821.1	0.041018274	0.009737498
aggregates-combined-assembly1_5001738_1_358_-	Conserved hypothetical protein; putative Glycosyl hydrolase family	Bacteria;Actinobacteria;Actinobacteridae	GH15	CAJ64043.1	0.04078871	0.016240781
aggregates-combined-assembly1_5363656_1_786_-	malto-oligosyltrehalose synthase	Bacteria;Cyanobacteria;Chroococcales	GH13	ABC98618.1	0.040496912	0.008974241
aggregates-combined-assembly1_5269359_1_843_+	"glycosyl transferase, family 39"	Bacteria;Acidobacteria;Solibacteres	none	ABJ86880.1	0.04004594	0.014536872
aggregates-combined-assembly1_5284022_134_1037_-	Glycoside hydrolase	Bacteria;Proteobacteria;Gammaproteobacteria	GH15	ABA58092.1	0.040022345	0.005915042
aggregates-combined-assembly1_5601021_1_193_+	putative glycosyl transferase	Bacteria;Proteobacteria;Alphaproteobacteria	GH94	CAK05553.1	0.039895835	0.010682218
aggregates-combined-assembly1_5522822_1_432_-	glycoside hydrolase family 16	Bacteria;Chloroflexi;Herpetosiphonales	GH16	ABX06634.1	0.039856761	0.010371343
aggregates-combined-assembly1_5454194_2174_2860_+	TPR repeat	Bacteria;Cyanobacteria;Prochlorales	GT41	AAZ58723.1	0.039839951	0.005858098
aggregates-combined-assembly1_5522172_1_655_-	glycosyl transferase	Archaea;Euryarchaeota;Thermococci	GT4	AAL81482.1	0.039828194	0.010016054
aggregates-combined-assembly1_5366746_21_581_-	Dolichyl-diphosphooligosaccharide--protein glycotransferase	Archaea;Crenarchaeota;Thermoprotei	GT66	ABX11975.1	0.039792873	0.012713196
aggregates-combined-assembly1_5284228_1_575_+	Domain of unknown function DUF1957	Bacteria;Proteobacteria;Deltaproteobacteria	GH57	ABS25323.1	0.03978193	0.017460279
aggregates-combined-assembly1_5601606_1_709_-	"transferase, putative"	Eukaryota;Fungi;Dikarya	GT4	AAW43127.1	0.039625807	0.008969096
aggregates-combined-assembly1_5601606_1081_1681_-	Dolichyl-phosphate beta-D-mannosyltransferase	Bacteria;Proteobacteria;Betaproteobacteria	GT2	ABI58741.1	0.039625807	0.008969096
aggregates-combined-assembly1_5547767_248_1000_+	Hyaluronan synthase	Bacteria;Actinobacteria;Actinobacteridae	GT2	ABW16600.1	0.039538585	0.01467935
aggregates-combined-assembly1_5376967_25_809_+	"1,4-alpha-glucan branching enzyme"	Bacteria;Actinobacteria;Actinobacteridae	CBM48	AAT82859.1	0.039488339	0.008947748
aggregates-combined-assembly1_5521526_1_772_-	putative lipopolysaccharide glucosyltransferase	Bacteria;Proteobacteria;Gammaproteobacteria	GT9	BAE75476.1	0.039375365	0.006880804
aggregates-combined-assembly1_5521328_1_699_+	amidohydrolase	Bacteria;Thermotogae;Thermotogales	CE9	ABV32990.1	0.039355648	0.009751508
aggregates-combined-assembly1_5244710_1_309_-	polysaccharide deacetylase family protein	Archaea;Euryarchaeota;Halobacteria	CE4	ABT17376.1	0.039319101	0.010075904
aggregates-combined-assembly1_5255621_312_1019_-	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.039206042	0.01225581
aggregates-combined-assembly1_5533145_1_519_+	conserved hypothetical protein-putative hydrolase	Bacteria;Planctomycetes;Planctomycetacia	CE1	CAD77331.1	0.039202288	0.01021515
aggregates-combined-assembly1_5533145_2075_3014_-	putative membrane protein	Bacteria;Actinobacteria;Actinobacteridae	GT87	CAF20521.1	0.039202288	0.01021515
aggregates-combined-assembly1_5029487_1_208_-	putative alpha-amylase family protein	Bacteria;Proteobacteria;Alphaproteobacteria	GH13	CAK05549.1	0.039187499	0.012632484
aggregates-combined-assembly1_5229111_1_562_-	trehalose synthase	Bacteria;Actinobacteria;Actinobacteridae	GH13	ABS05210.1	0.039129175	0.013693539
aggregates-combined-assembly1_5391433_190_985_-	LmbE family protein	Bacteria;Actinobacteria;Actinobacteridae	CE14	ABL80673.1	0.039067064	0.012171239
aggregates-combined-assembly1_5601003_1_997_-	hypothetical protein CC_1226	Bacteria;Proteobacteria;Alphaproteobacteria	CE10	AAK23208.1	0.039031652	0.010912878
aggregates-combined-assembly1_5149673_1_1041_-	metal-dependent hydrolase superfamily protein	Bacteria;Bacteroidetes;Flavobacteria	CE9	CAL65759.1	0.039019291	0.012619418
aggregates-combined-assembly1_5564082_238_454_-	phosphorylase	Bacteria;Proteobacteria;Gammaproteobacteria	GT83	ABI83351.1	0.038998772	0.009265412
aggregates-combined-assembly1_5611793_1_463_-	conserved hypothetical protein	Bacteria;Acidobacteria;Solibacteres	none	ABJ83585.1	0.038868372	0.010825183
aggregates-combined-assembly1_5440601_1_439_+	Alpha-L-fucosidase	Bacteria;Acidobacteria;Solibacteres	GH29	ABJ88021.1	0.038856567	0.007466858
aggregates-combined-assembly1_5429144_1_624_-	putative mannosyl-3-phosphoglycerate synthase	Archaea;Crenarchaeota;environmental	GT55	CAF28675.1	0.038849362	0.009141664
aggregates-combined-assembly1_5367486_1_412_-	"glycosyl hydrolase, family 88"	Bacteria;Actinobacteria;Actinobacteridae	GH88	ABK03242.1	0.038817751	0.013535526
aggregates-combined-assembly1_4811945_1_365_-	Beta-phosphoglucomutase hydrolase	Bacteria;Proteobacteria;Gammaproteobacteria	GH65	ABA58247.1	0.038813394	0.011609276
aggregates-combined-assembly1_5640895_1_360_+	similar to trehalose-6-phosphate phosphorylase	Bacteria;Planctomycetes;Planctomycetacia	GH65	CAJ75349.1	0.038723923	0.012217369
aggregates-combined-assembly1_5323695_183_665_+	gluconate kinase	Bacteria;Actinobacteria;Actinobacteridae	GH3	ABK01904.1	0.038707624	0.008044459
aggregates-combined-assembly1_5587686_1_938_-	Membrane proteins related to metalloendopeptidases	Bacteria;Firmicutes;Clostridia	GH23	AAM25264.1	0.038651892	0.007731524
aggregates-combined-assembly1_5535469_138_830_-	"Glycosyl transferase, family 2"	Bacteria;Firmicutes;Clostridia	GT2	ABC20443.1	0.03855746	0.007197156
aggregates-combined-assembly1_5535469_953_1582_-	"Glycosyl transferase, family 2"	Bacteria;Firmicutes;Clostridia	GT2	ABC20443.1	0.03855746	0.007197156
aggregates-combined-assembly1_5481320_1_562_+	trehalose phosphorylase	Bacteria;Actinobacteria;Actinobacteridae	GH65	AAT82856.1	0.038541497	0.013123812
aggregates-combined-assembly1_5299096_1_855_+	putative glycosyl transferase	Bacteria;Actinobacteria;Actinobacteridae	GT2	AAT83424.1	0.038507442	0.008726918
aggregates-combined-assembly1_5414402_1_246_-	putative glycosyl transferase	Bacteria;Actinobacteria;Actinobacteridae	GT4	AAT82395.1	0.038465233	0.011891452
aggregates-combined-assembly1_5638744_1_375_-	glycoside hydrolase 15-related protein	Bacteria;Acidobacteria;Solibacteres	GH15	ABJ83113.1	0.038401916	0.011386896
aggregates-combined-assembly1_5404445_1_352_-	apolipoprotein N-acyltransferase	Bacteria;Actinobacteria;Actinobacteridae	GT2	ABW13558.1	0.038320088	0.01022313
aggregates-combined-assembly1_4840232_1_480_+	TPR domain protein	Bacteria;Proteobacteria;Betaproteobacteria	GT41	ABC39306.1	0.038285371	0.013200489
aggregates-combined-assembly1_5537226_348_630_+	"glycosyltransferase, group 2 family protein"	Bacteria;Proteobacteria;Gammaproteobacteria	GT2	ABQ55930.1	0.038267898	0.013087766
aggregates-combined-assembly1_5350158_312_1028_+	"glycosyl transferase, family 2"	Archaea;Crenarchaeota;Thermoprotei	GT2	ABO07915.1	0.03824515	0.011079172
aggregates-combined-assembly1_5492850_1_711_+	unnamed protein product	Eukaryota;Fungi;Dikarya	CE4	BAE56160.1	0.038211563	0.010633351
aggregates-combined-assembly1_5492850_823_1091_+	"Glycosyl transferase, group 1"	Bacteria;Cyanobacteria;Nostocales	GT4	ABA22175.1	0.038211563	0.010633351
aggregates-combined-assembly1_5546142_1426_2013_+	Hypothetical extracellular protease	Bacteria;Proteobacteria;Gammaproteobacteria	CBM5	CAG23448.1	0.038190999	0.007616039
aggregates-combined-assembly1_5546142_3147_3522_+	cellulose synthase catalytic subunit (UDP-forming)	Bacteria;Proteobacteria;Alphaproteobacteria	GT2	ABY29768.1	0.038190999	0.007616039
aggregates-combined-assembly1_5277134_1_217_-	glycosyltransferase 36	Bacteria;Proteobacteria;Alphaproteobacteria	GH94	ABR61822.1	0.038185468	0.011143482
aggregates-combined-assembly1_5626132_1_748_-	"glycosyl transferase, group 1"	Bacteria;Cyanobacteria;Oscillatoriales	GT46	ABG49619.1	0.038174038	0.006278548
aggregates-combined-assembly1_5545952_1_1047_+	mannosidase	Bacteria;Actinobacteria;Actinobacteridae	GH2	AAD42775.1	0.038164996	0.01341903
aggregates-combined-assembly1_5281649_1_929_-	conserved hypothetical protein	Bacteria;Actinobacteria;Actinobacteridae	GT2	BAG21333.1	0.03799249	0.01291187
aggregates-combined-assembly1_5095962_1_642_+	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.037857371	0.009295137
aggregates-combined-assembly1_5350666_1100_1735_+	putative glycosyltransferase	Bacteria;Actinobacteria;Actinobacteridae	GT4	BAC74212.1	0.037852215	0.009899662
aggregates-combined-assembly1_5350666_705_1016_+	glycosyl transferase group 1	Bacteria;Actinobacteria;Actinobacteridae	GT4	ABV97794.1	0.037852215	0.009899662
aggregates-combined-assembly1_5414193_1659_1949_-	"two-component system sensor histidine kinase/response regulator, hybrid (one component system)"	Bacteria;Bacteroidetes;Bacteroidetes	GT2	AAO76290.1	0.037773898	0.008618281
aggregates-combined-assembly1_5391708_1_273_+	putative glycosyl transferase	Bacteria;Proteobacteria;Alphaproteobacteria	GH94	CAK05553.1	0.03770392	0.005167768
aggregates-combined-assembly1_4930354_232_482_-	583aa long hypothetical acylamino-acid-releasing enzyme	Archaea;Crenarchaeota;Thermoprotei	CE10	BAB65791.1	0.037658711	0.016960811
aggregates-combined-assembly1_5096081_1_539_+	sialyltransferase 0160	Bacteria;Proteobacteria;Gammaproteobacteria	GT80	BAA25316.1	0.037349264	0.014936989
aggregates-combined-assembly1_5339393_1_585_+	alr3064	Bacteria;Cyanobacteria;Nostocales	GT4	BAB74763.1	0.037303116	0.010133645
aggregates-combined-assembly1_4988337_1_685_-	putative dolichyl-phosphate-mannose-protein mannosyltransferase	Bacteria;Actinobacteria;Actinobacteridae	GT39	AAT82276.1	0.037178025	0.015508015
aggregates-combined-assembly1_5256207_1_296_-	Mannose-1-phosphate guanylyltransferase (GDP)	Bacteria;Proteobacteria;Betaproteobacteria	GT4	ACC75758.1	0.037147389	0.010110528
aggregates-combined-assembly1_5676065_1_405_+	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.036944767	0.015247817
aggregates-combined-assembly1_5255993_653_1017_+	epsilon-lactone hydrolase	Bacteria;Actinobacteria;Actinobacteridae	CE10	CAC17806.1	0.036795809	0.014364042
aggregates-combined-assembly1_5661127_1_268_+	hypothetical protein AN28252	Eukaryota;Fungi;Ascomycota	GH76	EAA63396.1	0.036790245	0.012275856
aggregates-combined-assembly1_5438273_1_736_-	"transferase, putative"	Eukaryota;Fungi;Dikarya	GT4	AAW43127.1	0.036769682	0.009479679
aggregates-combined-assembly1_5521599_1_998_-	"alpha amylase, catalytic region"	Bacteria;Deinococcus-Thermus;Deinococci	GH13	ABF44874.1	0.036743738	0.014252387
aggregates-combined-assembly1_5067072_41_705_+	F5/8 type C domain protein	Bacteria;Proteobacteria;Deltaproteobacteria	CBM32	ABF90924.1	0.036731873	0.011243176
aggregates-combined-assembly1_5506639_76_1164_+	Monogalactosyldiacylglycerol synthase	Bacteria;Chloroflexi;Chloroflexales	GT28	ABQ90904.1	0.036723175	0.011987068
aggregates-combined-assembly1_4979624_1_874_-	Methyltransferase type 11	Bacteria;Cyanobacteria;Nostocales	GT4	ACC82896.1	0.036658576	0.003810751
aggregates-combined-assembly1_5082145_1_1018_+	conserved hypothetical protein	Bacteria;Acidobacteria;Solibacteres	none	ABJ83585.1	0.036628867	0.02227352
aggregates-combined-assembly1_5110618_1_661_+	response regulator receiver protein	Bacteria;Actinobacteria;Actinobacteridae	GT2	ABS01822.1	0.036534586	0.018133717
aggregates-combined-assembly1_5241669_1_735_-	possible peptidase	Bacteria;Actinobacteria;Actinobacteridae	GH23	ABH00221.1	0.036381994	0.00933053
aggregates-combined-assembly1_5611837_1_776_+	putative bifunctional enzyme including aminotransferase and chitin synthase	Bacteria;Proteobacteria;Gammaproteobacteria	GT2	CAG74948.1	0.036340204	0.009845131
aggregates-combined-assembly1_5625936_1_887_+	UDP-N-acetylglucosamine:LPS N-acetylglucosamine transferase	Bacteria;Verrucomicrobia;unclassified	GT28	ACD83464.1	0.036319129	0.007871683
aggregates-combined-assembly1_5631953_115_671_+	dolichyl-phosphate-mannose-protein mannosyltransferase	Bacteria;Proteobacteria;Alphaproteobacteria	GT83	ABI78434.1	0.036203203	0.014094848
aggregates-combined-assembly1_5231135_1_616_+	Putative UTP--glucose-1-phosphate uridylyltransferase	Bacteria;Spirochaetes;Spirochaetales	GT2	ABZ99655.1	0.03605061	0.005309901
aggregates-combined-assembly1_4945517_512_944_-	Hypothetical protein Bxe_A3797	Bacteria;Proteobacteria;Betaproteobacteria	GT4	ABE29201.1	0.036012155	0.009347433
aggregates-combined-assembly1_5465877_1_742_-	"glycosyl transferase, group 1"	Bacteria;Proteobacteria;Deltaproteobacteria	GT4	ABK16665.1	0.035960024	0.00904383
aggregates-combined-assembly1_5300037_1_882_+	glycosyl transferase family 2	Archaea;Crenarchaeota;Thermoprotei	GT2	ABX12340.1	0.035883728	0.007920615
aggregates-combined-assembly1_5149147_184_825_+	response regulator receiver protein	Bacteria;Actinobacteria;Actinobacteridae	GT2	ABS01822.1	0.035761332	0.00906559
aggregates-combined-assembly1_5790218_1_321_+	glycosyltransferase 36	Bacteria;Proteobacteria;Betaproteobacteria	GH94	ABI59907.1	0.035710712	0.015129048
aggregates-combined-assembly1_4943038_1_937_-	amidohydrolase	Bacteria;Firmicutes;Clostridia	CE9	ABP65861.1	0.035417815	0.008832122
aggregates-combined-assembly1_5602648_1_551_-	Kojibiose phosphorylase	Bacteria;Proteobacteria;Alphaproteobacteria	GH65	ACA17291.1	0.035383669	0.00847605
aggregates-combined-assembly1_5163584_30_467_-	"glycoside hydrolase, family 16"	Bacteria;Proteobacteria;Alphaproteobacteria	GH16	ABQ70890.1	0.035357123	0.009173006
aggregates-combined-assembly1_5323855_2192_2447_+	putative bifunctional protein: peroxiredoxin/chitinase	Bacteria;Firmicutes;Clostridia	GH18	CAJ68298.1	0.035275099	0.010720751
aggregates-combined-assembly1_5324208_1_558_-	putative pristinamycin I synthase 3	Bacteria;Proteobacteria;Deltaproteobacteria	GT2	ABF92949.1	0.035010846	0.012797797
aggregates-combined-assembly1_5324208_979_1494_-	Glycosyltransferase	Bacteria;Proteobacteria;Alphaproteobacteria	GT2	BAE48900.1	0.035010846	0.012797797
aggregates-combined-assembly1_5269796_1_976_+	Beta-phosphoglucomutase hydrolase	Bacteria;Proteobacteria;Alphaproteobacteria	GH65	ABE64961.1	0.034927692	0.014544882
aggregates-combined-assembly1_5269796_1001_1396_+	Kojibiose phosphorylase	Bacteria;Proteobacteria;Alphaproteobacteria	GH65	ABY28977.1	0.034927692	0.014544882
aggregates-combined-assembly1_5324608_493_852_-	Glycosyltransferase 28 domain	Archaea;Crenarchaeota;Thermoprotei	GT1	ABX12090.1	0.034874112	0.009358437
aggregates-combined-assembly1_5324608_987_1514_-	Glycosyltransferase 28 domain	Archaea;Crenarchaeota;Thermoprotei	GT1	ABX12090.1	0.034874112	0.009358437
aggregates-combined-assembly1_4748236_1_502_-	conserved repeat domain	Bacteria;Acidobacteria;Solibacteres	CBM47	ABJ81631.1	0.034859507	0.013580099
aggregates-combined-assembly1_5353447_1175_1558_+	"histidinol-phosphate phosphatase family protein/glycosyl transferase, group 2 family protein"	Bacteria;Chloroflexi;Dehalococcoidetes	GT2	AAW40530.1	0.034845078	0.007653539
aggregates-combined-assembly1_5376926_545_973_-	hypothetical protein AN53922	Eukaryota;Fungi;Ascomycota	GH92	EAA62552.1	0.034787325	0.007971153
aggregates-combined-assembly1_5614120_1_363_-	"glycosyltransferase, family 4"	Archaea;Euryarchaeota;Thermococci	GT4	BAD85512.1	0.034747891	0.010890397
aggregates-combined-assembly1_5282194_1_330_+	hypothetical protein AN53922	Eukaryota;Fungi;Ascomycota	GH92	EAA62552.1	0.034741421	0.005547815
aggregates-combined-assembly1_5282194_448_964_+	unnamed protein product	Eukaryota;Fungi;Dikarya	CE4	BAE56160.1	0.034741421	0.005547815
aggregates-combined-assembly1_5599434_1_770_-	mrcB	Bacteria;Cyanobacteria;Chroococcales	GT51	CAO89158.1	0.0347061	0.00677177
aggregates-combined-assembly1_4955958_1_523_+	hypothetical protein Sfum_3553	Bacteria;Proteobacteria;Deltaproteobacteria	GH50	ABK19223.1	0.034678799	0.007343083
aggregates-combined-assembly1_5350553_1_763_+	Sequence 4 from patent US 7026465	Unclassified;;	CE1	ABH65273.1	0.034506805	0.007606891
aggregates-combined-assembly1_5043624_1_606_-	conserved hypothetical protein	Bacteria;Actinobacteria;Actinobacteridae	GT2	AAZ56547.1	0.034476688	0.011446203
aggregates-combined-assembly1_5045035_1_572_+	alpha-D-glucoside glucohydrolase 2	Archaea;Euryarchaeota;Thermoplasmata	none	CAH64536.1	0.034418843	0.008385634
aggregates-combined-assembly1_5505934_1_551_-	polysaccharide deacetylase	Bacteria;Proteobacteria;Epsilonproteobacteria	CE4	ABS51179.1	0.034282549	0.00864039
aggregates-combined-assembly1_5376987_1_578_-	putative glycogen debranching enzyme	Bacteria;Actinobacteria;Actinobacteridae	GH13	AAT82863.1	0.03407412	0.011829489
aggregates-combined-assembly1_5559324_1_397_-	glycosyltransferase 36	Bacteria;Proteobacteria;Deltaproteobacteria	GH94	ABQ28483.1	0.034057251	0.00799221
aggregates-combined-assembly1_5658004_1_530_+	WblG protein	Bacteria;Proteobacteria;Gammaproteobacteria	GT4	CAE17175.1	0.033936875	0.00969322
aggregates-combined-assembly1_5028268_1_1080_+	conserved hypothetical protein	Bacteria;Acidobacteria;Solibacteres	none	ABJ83585.1	0.033874254	0.011622046
aggregates-combined-assembly1_5151325_125_940_-	TPR repeat protein	Bacteria;Acidobacteria;Acidobacteriales	GT41	ABF43727.1	0.033797294	0.009129675
aggregates-combined-assembly1_5467243_1031_1459_+	polysaccharide deacetylase	Bacteria;Proteobacteria;Alphaproteobacteria	CE4	ABS68347.1	0.033729713	0.011757202
