Contig	Mean Abundance	SE	Cazy Class	Cazy Family	Best Hit ID	Description	Taxonomy Lineage			
aggregates-combined-assembly1_4683755_31_561_+	aggregates-combined-assembly1_4683755_31_561_+	0.0183583683576825	0.00690994736775688	n.d.	GT4	GT	ABZ87700.1	glycosyl transferase, group 1	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4688909_106_549_-	aggregates-combined-assembly1_4688909_106_549_-	0.018815658773775	0.00300601109375329	n.d.	GH55	GH	ABJ83626.1	SMP-30/Gluconolaconase/LRE domain protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_4699173_83_452_+	aggregates-combined-assembly1_4699173_83_452_+	0.0221975033529	0.00531720227546176	n.d.	GT2	GT	ABD06835.1	Protein of unknown function DUF23	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4706542_1_243_-	aggregates-combined-assembly1_4706542_1_243_-	0.01605109744365	0.00386020046524206	n.d.	none	none	ABM68042.1	xylosidase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_4710874_1_718_-	aggregates-combined-assembly1_4710874_1_718_-	0.022108183404475	0.00610700060670021	n.d.	GH13	GH	CAN92550.1	Malto-oligosyltrehalose synthase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4712040_56_484_-	aggregates-combined-assembly1_4712040_56_484_-	0.028258854565025	0.00537114061094009	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4723009_1_570_+	aggregates-combined-assembly1_4723009_1_570_+	0.0210094438482	0.00342990400525574	n.d.	none	none	ABS39172.1	cytidylyltransferase domain protein	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_4726413_1_588_+	aggregates-combined-assembly1_4726413_1_588_+	0.02399241445985	0.00455527028434195	n.d.	CBM5	CB	ABU74829.1	hypothetical protein VIBHAR_06955	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4732938_1_225_+	aggregates-combined-assembly1_4732938_1_225_+	0.03090775731935	0.0106042141612015	n.d.	CE10	CE	AAF84552.1	esterase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4732959_1_228_-	aggregates-combined-assembly1_4732959_1_228_-	0.02923908817855	0.00864503066013535	n.d.	GH13	GH	ABM06467.1	trehalose synthase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4742409_1_321_+	aggregates-combined-assembly1_4742409_1_321_+	0.01793279621747	0.00451124873138819	n.d.	none	none	ABJ88043.1	conserved hypothetical protein	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_4748236_1_502_-	aggregates-combined-assembly1_4748236_1_502_-	0.0348595073199225	0.0135800990190079	n.d.	CBM47	CB	ABJ81631.1	conserved repeat domain	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_4755490_1_350_-	aggregates-combined-assembly1_4755490_1_350_-	0.018887505979675	0.00431727139993553	n.d.	GT2	GT	ABS01822.1	response regulator receiver protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4765670_1_520_+	aggregates-combined-assembly1_4765670_1_520_+	0.023342146794205	0.00728960167267453	n.d.	GH13	GH	CAN92550.1	Malto-oligosyltrehalose synthase	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4771033_1_411_-	aggregates-combined-assembly1_4771033_1_411_-	0.02057885160485	0.00583356813840858	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4776760_1_247_-	aggregates-combined-assembly1_4776760_1_247_-	0.0191046491204225	0.00600119036717044	n.d.	GT4	GT	ACC75758.1	Mannose-1-phosphate guanylyltransferase (GDP)	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4783952_1_305_-	aggregates-combined-assembly1_4783952_1_305_-	0.0195874633878475	0.00815667760847991	n.d.	GT2	GT	ABM08202.1	glycosyl transferase, group 2 family domain protein	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4783952_571_947_-	aggregates-combined-assembly1_4783952_571_947_-	0.0195874633878475	0.00815667760847991	n.d.	GH16	GH	ABM08974.1	putative beta-1,3-glucanase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4796018_1_663_-	aggregates-combined-assembly1_4796018_1_663_-	0.01935411364533	0.00498314698677317	n.d.	CE10	CE	AAF84062.1	lipase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4796415_1_657_-	aggregates-combined-assembly1_4796415_1_657_-	0.0207749197842975	0.00662415110132719	n.d.	CBM48	CB	CAN97339.1	Alpha-amylase-family protein	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4796778_1_757_+	aggregates-combined-assembly1_4796778_1_757_+	0.0295959639669725	0.011743153207024	n.d.	CBM47	CB	ABJ81631.1	conserved repeat domain	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_4801079_1_519_+	aggregates-combined-assembly1_4801079_1_519_+	0.0183477849673525	0.00424186895579433	n.d.	GH4	GH	ABK69877.1	glucosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4807471_1_717_+	aggregates-combined-assembly1_4807471_1_717_+	0.026063803349845	0.00708614631375884	n.d.	GH43	GH	BAD47374.1	putative beta-xylosidase	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4811945_1_365_-	aggregates-combined-assembly1_4811945_1_365_-	0.038813394295525	0.0116092762371875	n.d.	GH65	GH	ABA58247.1	Beta-phosphoglucomutase hydrolase	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4817579_1_231_-	aggregates-combined-assembly1_4817579_1_231_-	0.0279629748662	0.00724062334188709	3.2.1.28	GH15	GH	ABK72415.1	glycoside hydrolase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4822271_1_228_+	aggregates-combined-assembly1_4822271_1_228_+	0.02280369192265	0.00599614972423373	n.d.	GH13	GH	CAN02470.1	putative alpha glycosidase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4826055_1_738_-	aggregates-combined-assembly1_4826055_1_738_-	0.02730414480283	0.00887655210114271	n.d.	GT4	GT	CAD78573.1	putative glycosyl transferase (WbnE)	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_4827686_1_785_+	aggregates-combined-assembly1_4827686_1_785_+	0.020085034477545	0.0059887143557797	n.d.	GT4	GT	AAM04600.1	glycosyltransferase	Archaea	Euryarchaeota	Methanomicrobia
aggregates-combined-assembly1_4830653_1_751_-	aggregates-combined-assembly1_4830653_1_751_-	0.0312971381306475	0.0127909553866184	n.d.	GH2	GH	ABJ88435.1	glycoside hydrolase family 2, sugar binding	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_4832368_278_710_-	aggregates-combined-assembly1_4832368_278_710_-	0.0203188036896	0.00368659094858611	n.d.	GT4	GT	ABY36272.1	glycogen synthase	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_4832650_1_262_+	aggregates-combined-assembly1_4832650_1_262_+	0.0195874633878475	0.00815667760847991	n.d.	GT4	GT	ACD82698.1	Glycosyltransferase	Bacteria	Verrucomicrobia	unclassified
aggregates-combined-assembly1_4832650_342_945_+	aggregates-combined-assembly1_4832650_342_945_+	0.0195874633878475	0.00815667760847991	n.d.	none	none	ACD82945.1	Glycogen debranching enzyme	Bacteria	Verrucomicrobia	unclassified
aggregates-combined-assembly1_4839949_1_474_+	aggregates-combined-assembly1_4839949_1_474_+	0.02491864861963	0.00699977488426671	n.d.	GT4	GT	ABS25632.1	glycosyl transferase group 1	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4840232_1_480_+	aggregates-combined-assembly1_4840232_1_480_+	0.038285371070725	0.0132004886936784	n.d.	GT41	GT	ABC39306.1	TPR domain protein	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4845031_1_728_-	aggregates-combined-assembly1_4845031_1_728_-	0.02129852601422	0.00947769121230556	n.d.	GT2	GT	ACD89993.1	glycosyl transferase family 2	Bacteria	Chlorobi	Chlorobia
aggregates-combined-assembly1_4846044_1_718_-	aggregates-combined-assembly1_4846044_1_718_-	0.026339211195625	0.00706332358580966	n.d.	GT4	GT	BAD85910.1	glycosyltransferase, family 4	Archaea	Euryarchaeota	Thermococci
aggregates-combined-assembly1_4857466_1_484_+	aggregates-combined-assembly1_4857466_1_484_+	0.01916240253655	0.00495850242453422	n.d.	GT41	GT	ABL65856.1	TPR repeat-containing protein	Bacteria	Chlorobi	Chlorobia
aggregates-combined-assembly1_4857590_1_661_+	aggregates-combined-assembly1_4857590_1_661_+	0.018399915172055	0.00532372820472922	n.d.	GT4	GT	ABJ88351.1	glycosyl transferase, group 1	Bacteria	Acidobacteria	Solibacteres
aggregates-combined-assembly1_4860045_1_594_+	aggregates-combined-assembly1_4860045_1_594_+	0.027184975827555	0.0128422897013191	n.d.	GT2	GT	AAN49196.1	cellulose synthase catalytic subunit-like protein	Bacteria	Spirochaetes	Spirochaetales
aggregates-combined-assembly1_4860337_1_627_-	aggregates-combined-assembly1_4860337_1_627_-	0.01960920138165	0.00372131210671385	n.d.	GT4	GT	ABQ70873.1	glycosyl transferase, family 2	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4860987_248_840_-	aggregates-combined-assembly1_4860987_248_840_-	0.025421179888245	0.00826604244469837	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4861751_1_1026_+	aggregates-combined-assembly1_4861751_1_1026_+	0.015765709315805	0.00401020480488968	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4868953_1_228_-	aggregates-combined-assembly1_4868953_1_228_-	0.028969303544175	0.00802471451598779	n.d.	GT4	GT	ABR40059.1	glycosyltransferase family 4	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4868953_234_709_-	aggregates-combined-assembly1_4868953_234_709_-	0.028969303544175	0.00802471451598779	n.d.	GT4	GT	ABB44978.1	Glycosyl transferase, group 1	Bacteria	Proteobacteria	Epsilonproteobacteria
aggregates-combined-assembly1_4869305_1_939_-	aggregates-combined-assembly1_4869305_1_939_-	0.031661170997175	0.00612971967334495	n.d.	CE4	CE	ABI59434.1	polysaccharide deacetylase	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4873096_1_681_-	aggregates-combined-assembly1_4873096_1_681_-	0.01984179627233	0.00798102631634586	n.d.	GT51	GT	ABF43231.1	Penicillin-binding protein 1A	Bacteria	Acidobacteria	Acidobacteriales
aggregates-combined-assembly1_4873555_289_846_-	aggregates-combined-assembly1_4873555_289_846_-	0.0148425660859025	0.00423155124622346	n.d.	GT2	GT	ABS67625.1	glycosyl transferase family 2	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4888967_1_878_+	aggregates-combined-assembly1_4888967_1_878_+	0.0150342771946975	0.00430470961452718	n.d.	CBM9	CB	CAH07622.1	hypothetical protein	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4890005_373_882_-	aggregates-combined-assembly1_4890005_373_882_-	0.024597848177725	0.00420496968862783	n.d.	GT2	GT	ABW13558.1	apolipoprotein N-acyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4903119_25_810_-	aggregates-combined-assembly1_4903119_25_810_-	0.022320877655225	0.00300559443965986	n.d.	CE1	CE	ABR44777.1	conserved hypothetical protein	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4903910_1_707_+	aggregates-combined-assembly1_4903910_1_707_+	0.0236269318137975	0.00692226398736469	n.d.	GH57	GH	ABD01634.1	glycosyl hydrolase, family 57	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_4903921_1_332_+	aggregates-combined-assembly1_4903921_1_332_+	0.016978597744195	0.00439494805093218	n.d.	GH13	GH	CAJ75048.1	similar to isoamylase	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_4912722_1_450_-	aggregates-combined-assembly1_4912722_1_450_-	0.027093227981775	0.00650145173551077	n.d.	GT66	GT	ABX11975.1	Dolichyl-diphosphooligosaccharide--protein glycotransferase	Archaea	Crenarchaeota	Thermoprotei
aggregates-combined-assembly1_4913475_1_471_+	aggregates-combined-assembly1_4913475_1_471_+	0.0293649947624	0.00139213482293854	n.d.	CBM13	CB	CAJ63931.1	putative Serine/threonine protein kinase pkaA (protein kinase A)	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4914341_411_1070_+	aggregates-combined-assembly1_4914341_411_1070_+	0.02415114115198	0.0102304326330647	n.d.	GH109	GH	ABR38319.1	putative oxidoreductase	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4914369_74_634_+	aggregates-combined-assembly1_4914369_74_634_+	0.018566194248875	0.0034095608955489	n.d.	CBM20	CB	ACD23569.1	starch binding domain protein	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_4915280_1_152_-	aggregates-combined-assembly1_4915280_1_152_-	0.0222942713018475	0.00768489401485067	n.d.	GH94	GH	ABC93831.1	hypothetical conserved protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4918294_1_277_-	aggregates-combined-assembly1_4918294_1_277_-	0.02412023765218	0.00787927180264277	n.d.	none	none	ACC80455.1	Amylo-alpha-1,6-glucosidase	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_4918437_1_274_-	aggregates-combined-assembly1_4918437_1_274_-	0.028700030198725	0.00669731870944792	n.d.	GT51	GT	AAT83856.1	penicillin-binding protein (transglycosylase/transpeptidase)	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4928427_1_567_-	aggregates-combined-assembly1_4928427_1_567_-	0.025743002907975	0.00568892313368231	n.d.	GT4	GT	AAS83057.1	glycosyl transferase-like protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4929992_1_532_+	aggregates-combined-assembly1_4929992_1_532_+	0.028129857051275	0.00740979181485311	n.d.	GT35	GT	AAZ54624.1	alpha-glucan phosphorylase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4930348_1_449_-	aggregates-combined-assembly1_4930348_1_449_-	0.0304049583247475	0.0108536297127083	n.d.	CE4	CE	ABD79403.1	polysaccharide deacetylase-like protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4930354_232_482_-	aggregates-combined-assembly1_4930354_232_482_-	0.037658710647925	0.0169608109410561	n.d.	CE10	CE	BAB65791.1	583aa long hypothetical acylamino-acid-releasing enzyme	Archaea	Crenarchaeota	Thermoprotei
aggregates-combined-assembly1_4935165_1_833_+	aggregates-combined-assembly1_4935165_1_833_+	0.025493781945995	0.00872177024552142	n.d.	GT4	GT	ABV66952.1	glycosyltransferase	Bacteria	Proteobacteria	Epsilonproteobacteria
aggregates-combined-assembly1_4942170_1_738_+	aggregates-combined-assembly1_4942170_1_738_+	0.020644472491045	0.00553421594890015	n.d.	GT2	GT	ABC89580.1	probable glycosyltransferase protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4943038_1_937_-	aggregates-combined-assembly1_4943038_1_937_-	0.03541781547195	0.00883212173380308	n.d.	CE9	CE	ABP65861.1	amidohydrolase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_4943827_1_604_+	aggregates-combined-assembly1_4943827_1_604_+	0.0257432464709025	0.00957858901260325	n.d.	GT2	GT	ABB57203.1	conserved hypothetical protein	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_4944551_1_352_-	aggregates-combined-assembly1_4944551_1_352_-	0.0256028188956	0.00531561712208893	n.d.	GT2	GT	ABG97542.1	possible glycosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4944551_362_803_-	aggregates-combined-assembly1_4944551_362_803_-	0.0256028188956	0.00531561712208893	n.d.	GT4	GT	CAJ74349.1	similar to lipopolysaccharide core biosynthesis protein	Bacteria	Planctomycetes	Planctomycetacia
aggregates-combined-assembly1_4945517_512_944_-	aggregates-combined-assembly1_4945517_512_944_-	0.0360121545106	0.00934743256306191	n.d.	GT4	GT	ABE29201.1	Hypothetical protein Bxe_A3797	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4946206_1_445_+	aggregates-combined-assembly1_4946206_1_445_+	0.0213246210786725	0.00617728551981196	n.d.	none	none	ABP71318.1	NAD-dependent epimerase/dehydratase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4955958_1_523_+	aggregates-combined-assembly1_4955958_1_523_+	0.034678799071025	0.00734308328102034	n.d.	GH50	GH	ABK19223.1	hypothetical protein Sfum_3553	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4956630_1_330_+	aggregates-combined-assembly1_4956630_1_330_+	0.022855730307975	0.00245648618448039	n.d.	GH13	GH	ABK17160.1	glycogen debranching enzyme GlgX	Bacteria	Proteobacteria	Deltaproteobacteria
aggregates-combined-assembly1_4956803_414_911_+	aggregates-combined-assembly1_4956803_414_911_+	0.021564616610405	0.00597440699548904	n.d.	CE4	CE	ABG31938.1	conserved hypothetical protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4956956_1_298_+	aggregates-combined-assembly1_4956956_1_298_+	0.028039933994595	0.0100943820256541	n.d.	GT28	GT	BAC09361.1	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	Bacteria	Cyanobacteria	Chroococcales
aggregates-combined-assembly1_4957165_1_784_-	aggregates-combined-assembly1_4957165_1_784_-	0.0182181843453225	0.0042552193661184	n.d.	GT2	GT	AAO81912.1	glycosyl transferase, group 2 family protein	Bacteria	Firmicutes	Lactobacillales
aggregates-combined-assembly1_4959115_1_419_-	aggregates-combined-assembly1_4959115_1_419_-	0.0335423584821275	0.0133535731280767	n.d.	GT20	GT	ABL83491.1	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)	Bacteria	Actinobacteria	Actinobacteridae
aggregates-combined-assembly1_4959780_1_441_-	aggregates-combined-assembly1_4959780_1_441_-	0.0415487696313	0.00990567978431397	n.d.	GT2	GT	ABQ92429.1	glycosyl transferase, family 2	Bacteria	Chloroflexi	Chloroflexales
aggregates-combined-assembly1_4961156_1_458_-	aggregates-combined-assembly1_4961156_1_458_-	0.0244202308587	0.00593856702031046	n.d.	GH84	GH	ABS63268.1	Hyaluronidase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4963377_1_1006_+	aggregates-combined-assembly1_4963377_1_1006_+	0.0258052052140975	0.0103483899820851	n.d.	GH13	GH	AAZ97127.1	Alpha amylase, catalytic subdomain	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4969836_1_257_+	aggregates-combined-assembly1_4969836_1_257_+	0.0232427547443725	0.00585158138688405	n.d.	GH3	GH	ABG60810.1	b-glucosidase, glycoside hydrolase family 3 protein	Bacteria	Bacteroidetes	Sphingobacteria
aggregates-combined-assembly1_4969836_261_871_+	aggregates-combined-assembly1_4969836_261_871_+	0.0232427547443725	0.00585158138688405	n.d.	GH31	GH	AAK22774.1	glycosyl hydrolase, family 31	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4970882_1_1014_-	aggregates-combined-assembly1_4970882_1_1014_-	0.0236790620184775	0.00657026775505223	n.d.	GT4	GT	AAD33995.1	putative glycosyltransferase	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4971219_150_983_-	aggregates-combined-assembly1_4971219_150_983_-	0.026852234035205	0.00779582403646473	n.d.	PL12	PL	ABM02293.1	Heparinase II/III family protein	Bacteria	Proteobacteria	Gammaproteobacteria
aggregates-combined-assembly1_4972307_1_449_+	aggregates-combined-assembly1_4972307_1_449_+	0.03151605870105	0.0101149138723593	n.d.	GT4	GT	ABR56017.1	glycosyl transferase group 1	Archaea	Euryarchaeota	Methanococci
aggregates-combined-assembly1_4974885_1_440_-	aggregates-combined-assembly1_4974885_1_440_-	0.022284954052275	0.00292256816369374	n.d.	GH18	GH	CAJ68298.1	putative bifunctional protein: peroxiredoxin/chitinase	Bacteria	Firmicutes	Clostridia
aggregates-combined-assembly1_4975159_1_915_+	aggregates-combined-assembly1_4975159_1_915_+	0.020853145053455	0.00595190309792435	n.d.	GT9	GT	ACC98181.1	glycosyl transferase family 9	Bacteria	candidate	Elusimicrobium
aggregates-combined-assembly1_4979624_1_874_-	aggregates-combined-assembly1_4979624_1_874_-	0.036658576394475	0.0038107507615887	n.d.	GT4	GT	ACC82896.1	Methyltransferase type 11	Bacteria	Cyanobacteria	Nostocales
aggregates-combined-assembly1_4983863_1_178_+	aggregates-combined-assembly1_4983863_1_178_+	0.0311927859018475	0.0103420416856201	n.d.	GT4	GT	ABC93476.1	glycosyltransferase protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4983909_1_973_-	aggregates-combined-assembly1_4983909_1_973_-	0.02616446154045	0.00720349086648541	n.d.	GT2	GT	AAO76290.1	two-component system sensor histidine kinase/response regulator, hybrid (one component system)	Bacteria	Bacteroidetes	Bacteroidetes
aggregates-combined-assembly1_4985333_1_640_-	aggregates-combined-assembly1_4985333_1_640_-	0.025172470215195	0.00994134014651165	n.d.	GT2	GT	ABJ79192.1	Conserved hypothetical protein	Bacteria	Spirochaetes	Spirochaetales
aggregates-combined-assembly1_4986257_11_406_-	aggregates-combined-assembly1_4986257_11_406_-	0.020553419572875	0.00404185873120851	n.d.	GH93	GH	EAA29319.1	hypothetical protein	Eukaryota	Fungi	Ascomycota
aggregates-combined-assembly1_4986760_1_560_-	aggregates-combined-assembly1_4986760_1_560_-	0.030354605549725	0.00525756717025224	n.d.	GT4	GT	ACC75758.1	Mannose-1-phosphate guanylyltransferase (GDP)	Bacteria	Proteobacteria	Betaproteobacteria
aggregates-combined-assembly1_4987044_23_873_-	aggregates-combined-assembly1_4987044_23_873_-	0.0266656348489225	0.00716193598556423	n.d.	GT2	GT	ABT16312.1	hypothetical protein ATCV1_Z178L	Viruses	dsDNA	Phycodnaviridae
aggregates-combined-assembly1_4987085_1_692_-	aggregates-combined-assembly1_4987085_1_692_-	0.0225957742121	0.00419045288496712	n.d.	CE4	CE	ABG31938.1	conserved hypothetical protein	Bacteria	Proteobacteria	Alphaproteobacteria
aggregates-combined-assembly1_4988337_1_685_-	aggregates-combined-assembly1_4988337_1_685_-	0.037178024656805	0.0155080148280328	n.d.	GT39	GT	AAT82276.1	putative dolichyl-phosphate-mannose-protein mannosyltransferase	Bacteria	Actinobacteria	Actinobacteridae
